,ONE,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
35%,1,Office Supplies,Cary,United States,Brad Norvell,20%,1,9/12/2015,CA-2015-138527,27511,Xerox,Xerox 220,4,0.4,2,South,10,Corporate,9/17/2015,Standard Class,North Carolina,Paper
11%,1,Office Supplies,Cary,United States,Brad Norvell,20%,1,9/12/2015,CA-2015-138527,27511,Fellowes,Fellowes 8 Outlet Superior Workstation Surge Protector,19,0.1137724551,5,South,167,Corporate,9/17/2015,Standard Class,North Carolina,Appliances
15%,1,Technology,Cary,United States,Brad Norvell,20%,1,9/12/2015,CA-2015-138527,27511,SanDisk,SanDisk Cruzer 32 GB USB Flash Drive,2,0.1333333333,1,South,15,Corporate,9/17/2015,Standard Class,North Carolina,Accessories
44%,1,Technology,New York City,United States,David Philippe,0%,1,12/2/2015,CA-2015-112158,10035,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,53,0.4416666667,4,East,120,Consumer,12/4/2015,First Class,New York,Accessories
-13%,1,Furniture,New York City,United States,David Philippe,20%,1,12/2/2015,CA-2015-112158,10035,O'Sullivan,O'Sullivan Living Dimensions 5-Shelf Bookcases,-110,-0.1244343891,5,East,884,Consumer,12/4/2015,First Class,New York,Bookcases
34%,1,Office Supplies,New York City,United States,David Philippe,20%,1,12/2/2015,CA-2015-112158,10035,Angle-D,"Angle-D Binders with Locking Rings, Label Holders",16,0.3404255319,8,East,47,Consumer,12/4/2015,First Class,New York,Binders
48%,1,Office Supplies,New York City,United States,Tracy Hopkins,0%,1,4/5/2015,CA-2015-113887,10035,Other,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",27,0.4909090909,1,East,55,Home Office,4/7/2015,First Class,New York,Paper
36%,1,Office Supplies,Palm Coast,United States,Arthur Prichep,20%,1,9/3/2018,CA-2018-146136,32137,Other,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",9,0.375,4,South,24,Consumer,9/7/2018,Standard Class,Florida,Envelopes
39%,1,Office Supplies,Mount Vernon,United States,Roland Schwarz,0%,1,5/19/2018,US-2018-100048,10550,Bionaire,Bionaire Personal Warm Mist Humidifier/Vaporizer,110,0.3914590747,6,East,281,Corporate,5/24/2018,Standard Class,New York,Appliances
29%,1,Technology,Mount Vernon,United States,Roland Schwarz,0%,1,5/19/2018,US-2018-100048,10550,Nortel,Nortel Meridian M3904 Professional Digital phone,89,0.288961039,2,East,308,Corporate,5/24/2018,Standard Class,New York,Phones
38%,1,Technology,Mount Vernon,United States,Roland Schwarz,0%,1,5/19/2018,US-2018-100048,10550,Logitech,Logitech Wireless Performance Mouse MX for PC and Mac,114,0.38,3,East,300,Corporate,5/24/2018,Standard Class,New York,Accessories
35%,1,Office Supplies,Seattle,United States,Dorris liebe,20%,1,7/1/2015,CA-2015-153150,98105,Cardinal,Cardinal Holdit Business Card Pockets,7,0.35,5,West,20,Corporate,7/6/2015,Second Class,Washington,Binders
31%,1,Furniture,Dover,United States,Seth Vernon,0%,1,1/11/2015,CA-2015-130092,19901,DAX,"DAX Value U-Channel Document Frames, Easel Back",3,0.3,2,East,10,Consumer,1/14/2015,First Class,Delaware,Furnishings
24%,1,Furniture,Newark,United States,Kelly Collister,20%,1,9/24/2018,CA-2018-108910,43055,Howard Miller,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",24,0.2330097087,3,East,103,Consumer,9/29/2018,Standard Class,Ohio,Furnishings
33%,1,Office Supplies,Orem,United States,Christine Kargatis,20%,1,6/2/2015,CA-2015-104472,84057,GBC,GBC Standard Therm-A-Bind Covers,19,0.3166666667,3,West,60,Home Office,6/7/2015,Standard Class,Utah,Binders
30%,1,Furniture,Orem,United States,Christine Kargatis,0%,1,6/2/2015,CA-2015-104472,84057,Other,Aluminum Document Frame,22,0.301369863,6,West,73,Home Office,6/7/2015,Standard Class,Utah,Furnishings
50%,1,Office Supplies,Los Angeles,United States,Ross DeVincentis,0%,1,2/13/2017,CA-2017-112942,90045,Other,Tops Green Bar Computer Printout Paper,73,0.4965986395,3,West,147,Home Office,2/18/2017,Standard Class,California,Paper
14%,1,Furniture,Detroit,United States,Michael Paige,0%,1,12/15/2017,CA-2017-142335,48205,Chromcraft,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,231,0.1397459165,3,Central,"1,653",Corporate,12/19/2017,Standard Class,Michigan,Tables
27%,1,Office Supplies,Detroit,United States,Michael Paige,0%,1,12/15/2017,CA-2017-142335,48205,Other,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",80,0.2702702703,3,Central,296,Corporate,12/19/2017,Standard Class,Michigan,Storage
16%,1,Furniture,Philadelphia,United States,Mathew Reese,20%,1,10/7/2015,CA-2015-117429,19140,Seth Thomas,"Seth Thomas 16"" Steel Case Clock",21,0.1615384615,5,East,130,Home Office,10/13/2015,Standard Class,Pennsylvania,Furnishings
11%,1,Office Supplies,Hialeah,United States,Steve Chapman,20%,1,7/7/2017,CA-2017-114713,33012,Acme,Acme Softgrip Scissors,5,0.1086956522,7,South,46,Corporate,7/12/2017,Standard Class,Florida,Supplies
36%,1,Office Supplies,Austin,United States,Jay Fein,20%,1,9/16/2018,CA-2018-144113,78745,Other,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",6,0.3333333333,2,Central,18,Consumer,9/20/2018,Standard Class,Texas,Envelopes
10%,1,Technology,Austin,United States,Jay Fein,20%,1,9/16/2018,CA-2018-144113,78745,Clearsounds,ClearSounds CSC500 Amplified Spirit Phone Corded phone,6,0.1071428571,1,Central,56,Consumer,9/20/2018,Standard Class,Texas,Phones
46%,1,Office Supplies,Oceanside,United States,Emily Grady,0%,1,12/3/2017,US-2017-150861,11572,Xerox,Xerox 1964,84,0.4590163934,8,East,183,Consumer,12/6/2017,First Class,New York,Paper
-38%,1,Furniture,Oceanside,United States,Emily Grady,40%,1,12/3/2017,US-2017-150861,11572,Bevis,"Bevis Traditional Conference Table Top, Plinth Base",-153,-0.3825,2,East,400,Consumer,12/6/2017,First Class,New York,Tables
30%,1,Office Supplies,Oceanside,United States,Emily Grady,0%,1,12/3/2017,US-2017-150861,11572,Other,"Personal Folder Holder, Ebony",10,0.2941176471,3,East,34,Consumer,12/6/2017,First Class,New York,Storage
19%,1,Furniture,Oceanside,United States,Emily Grady,10%,1,12/3/2017,US-2017-150861,11572,Global,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",102,0.1878453039,3,East,543,Consumer,12/6/2017,First Class,New York,Chairs
48%,1,Office Supplies,Oceanside,United States,Emily Grady,0%,1,12/3/2017,US-2017-150861,11572,Avery,Avery 520,3,0.5,2,East,6,Consumer,12/6/2017,First Class,New York,Labels
4%,1,Office Supplies,Seattle,United States,Darrin Sayre,0%,1,1/21/2018,CA-2018-131954,98115,Carina,Carina Double Wide Media Storage Towers in Natural & Black,10,0.04115226337,3,West,243,Home Office,1/25/2018,Standard Class,Washington,Storage
48%,1,Technology,Seattle,United States,Darrin Sayre,0%,1,1/21/2018,CA-2018-131954,98115,Logitech,Logitech Illuminated - Keyboard,86,0.4777777778,3,West,180,Home Office,1/25/2018,Standard Class,Washington,Accessories
34%,1,Office Supplies,Seattle,United States,Darrin Sayre,20%,1,1/21/2018,CA-2018-131954,98115,Wilson Jones,Wilson Jones Century Plastic Molded Ring Binders,34,0.34,6,West,100,Home Office,1/25/2018,Standard Class,Washington,Binders
34%,1,Office Supplies,Seattle,United States,Darrin Sayre,20%,1,1/21/2018,CA-2018-131954,98115,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,9,0.3214285714,4,West,28,Home Office,1/25/2018,Standard Class,Washington,Binders
22%,1,Furniture,Seattle,United States,Darrin Sayre,0%,1,1/21/2018,CA-2018-131954,98115,O'Sullivan,O'Sullivan Cherrywood Estates Traditional Bookcase,19,0.2235294118,1,West,85,Home Office,1/25/2018,Standard Class,Washington,Bookcases
35%,1,Office Supplies,Seattle,United States,Darrin Sayre,20%,1,1/21/2018,CA-2018-131954,98115,Acco,Acco Translucent Poly Ring Binders,7,0.3684210526,5,West,19,Home Office,1/25/2018,Standard Class,Washington,Binders
17%,1,Technology,San Francisco,United States,Gary Zandusky,0%,1,9/8/2015,CA-2015-132500,94110,Logitech,Logitech Wireless Touch Keyboard K400,8,0.16,2,West,50,Consumer,9/12/2015,Standard Class,California,Accessories
36%,1,Office Supplies,Naperville,United States,Phillina Ober,20%,1,1/4/2015,CA-2015-112326,60540,Avery,Avery 508,4,0.3333333333,3,Central,12,Home Office,1/8/2015,Standard Class,Illinois,Labels
-24%,1,Office Supplies,Naperville,United States,Phillina Ober,20%,1,1/4/2015,CA-2015-112326,60540,SAFCO,SAFCO Boltless Steel Shelving,-65,-0.2380952381,3,Central,273,Home Office,1/8/2015,Standard Class,Illinois,Storage
-155%,1,Office Supplies,Naperville,United States,Phillina Ober,80%,1,1/4/2015,CA-2015-112326,60540,GBC,GBC Standard Plastic Binding Systems Combs,-5,-1.25,2,Central,4,Home Office,1/8/2015,Standard Class,Illinois,Binders
-21%,1,Office Supplies,Dallas,United States,Sung Shariari,20%,1,8/27/2017,US-2017-146710,75220,Martin-Yale,Martin-Yale Premier Letter Opener,-11,-0.2115384615,5,Central,52,Consumer,9/1/2017,Standard Class,Texas,Supplies
33%,1,Office Supplies,Dallas,United States,Sung Shariari,20%,1,8/27/2017,US-2017-146710,75220,Ampad,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",1,0.25,1,Central,4,Consumer,9/1/2017,Standard Class,Texas,Paper
36%,1,Office Supplies,Dallas,United States,Sung Shariari,20%,1,8/27/2017,US-2017-146710,75220,Xerox,Xerox 196,2,0.4,1,Central,5,Consumer,9/1/2017,Standard Class,Texas,Paper
11%,1,Office Supplies,Dallas,United States,Sung Shariari,20%,1,8/27/2017,US-2017-146710,75220,Fiskars,"Fiskars 8"" Scissors, 2/Pack",6,0.1090909091,4,Central,55,Consumer,9/1/2017,Standard Class,Texas,Supplies
-5%,1,Furniture,San Diego,United States,Maya Herman,20%,1,5/27/2015,CA-2015-124429,92105,KI,KI Conference Tables,-28,-0.04938271605,10,West,567,Corporate,5/27/2015,Same Day,California,Tables
2%,1,Office Supplies,San Diego,United States,Maya Herman,0%,1,5/27/2015,CA-2015-124429,92105,Fellowes,Fellowes Officeware Wire Shelving,7,0.01949860724,4,West,359,Corporate,5/27/2015,Same Day,California,Storage
7%,1,Technology,Evanston,United States,Peter Bühler,20%,1,3/20/2017,CA-2017-150889,60201,Belkin,Belkin iPhone and iPad Lightning Cable,1,0.08333333333,1,Central,12,Consumer,3/22/2017,Second Class,Illinois,Phones
46%,1,Office Supplies,Trenton,United States,Roland Fjeld,0%,1,10/2/2018,CA-2018-126074,48183,GBC,GBC Durable Plastic Covers,27,0.4655172414,3,Central,58,Consumer,10/6/2018,Standard Class,Michigan,Binders
36%,1,Furniture,Trenton,United States,Roland Fjeld,0%,1,10/2/2018,CA-2018-126074,48183,Nu-Dell,Nu-Dell Leatherette Frames,57,0.3607594937,11,Central,158,Consumer,10/6/2018,Standard Class,Michigan,Furnishings
40%,1,Office Supplies,Trenton,United States,Roland Fjeld,0%,1,10/2/2018,CA-2018-126074,48183,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",23,0.4035087719,7,Central,57,Consumer,10/6/2018,Standard Class,Michigan,Art
49%,1,Office Supplies,Trenton,United States,Roland Fjeld,0%,1,10/2/2018,CA-2018-126074,48183,Avery,Avery Durable Binders,1,0.3333333333,1,Central,3,Consumer,10/6/2018,Standard Class,Michigan,Binders
31%,1,Technology,San Francisco,United States,Yoseph Carroll,20%,1,4/7/2017,CA-2017-110499,94110,Hewlett-Packard,Hewlett Packard 610 Color Digital Copier / Printer,375,0.3125,3,West,"1,200",Corporate,4/9/2017,First Class,California,Copiers
36%,1,Furniture,Los Angeles,United States,Melanie Seite,0%,1,12/7/2016,CA-2016-135272,90036,Other,12-1/2 Diameter Round Wall Clock,29,0.3625,4,West,80,Consumer,12/12/2016,Standard Class,California,Furnishings
-44%,1,Furniture,Jacksonville,United States,Nona Balk,45%,1,9/18/2017,CA-2017-140928,32216,Chromcraft,Chromcraft Round Conference Tables,-167,-0.4360313316,4,South,383,Corporate,9/22/2017,Standard Class,Florida,Tables
28%,1,Office Supplies,Cottage Grove,United States,Debra Catini,0%,1,12/29/2015,CA-2015-106803,55016,Other,Recycled Eldon Regeneration Jumbo File,7,0.28,2,Central,25,Consumer,1/2/2016,Standard Class,Minnesota,Storage
40%,1,Technology,Cottage Grove,United States,Debra Catini,0%,1,12/29/2015,CA-2015-106803,55016,Imation,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,48,0.4,4,Central,120,Consumer,1/2/2016,Standard Class,Minnesota,Accessories
33%,1,Office Supplies,New York City,United States,Christine Phan,20%,1,7/23/2018,CA-2018-117240,10009,Angle-D,Angle-D Ring Binders,4,0.3076923077,3,East,13,Corporate,7/28/2018,Standard Class,New York,Binders
45%,1,Office Supplies,Green Bay,United States,Barry Französisch,0%,1,9/18/2018,CA-2018-133333,54302,Adams,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",10,0.4347826087,4,Central,23,Corporate,9/22/2018,Standard Class,Wisconsin,Paper
48%,1,Office Supplies,Los Angeles,United States,Andrew Roberts,0%,1,8/31/2016,CA-2016-112319,90004,Xerox,Xerox 226,28,0.4827586207,9,West,58,Consumer,9/5/2016,Standard Class,California,Paper
46%,1,Office Supplies,Atlanta,United States,Julie Creighton,0%,1,11/3/2018,CA-2018-126046,30318,Avery,Avery 476,6,0.5,3,South,12,Corporate,11/7/2018,Standard Class,Georgia,Labels
-25%,1,Technology,Columbus,United States,Lisa Hazard,40%,1,2/8/2016,CA-2016-114923,43229,Other,JBL Micro Wireless Portable Bluetooth Speaker,-27,-0.25,3,East,108,Consumer,2/13/2016,Standard Class,Ohio,Phones
47%,1,Office Supplies,Bossier City,United States,Chris Selesnick,0%,1,1/13/2015,CA-2015-162775,71111,Staple envelope,Staple envelope,5,0.4545454545,2,South,11,Corporate,1/15/2015,Second Class,Louisiana,Envelopes
50%,1,Office Supplies,Bossier City,United States,Chris Selesnick,0%,1,1/13/2015,CA-2015-162775,71111,Other,Brown Kraft Recycled Envelopes,25,0.4901960784,3,South,51,Corporate,1/15/2015,Second Class,Louisiana,Envelopes
40%,1,Technology,Bossier City,United States,Chris Selesnick,0%,1,1/13/2015,CA-2015-162775,71111,Plantronics,Plantronics S12 Corded Telephone Headset System,259,0.400309119,6,South,647,Corporate,1/15/2015,Second Class,Louisiana,Accessories
48%,1,Office Supplies,Bossier City,United States,Chris Selesnick,0%,1,1/13/2015,CA-2015-162775,71111,3-ring staple pack,3-ring staple pack,3,0.5,3,South,6,Corporate,1/15/2015,Second Class,Louisiana,Binders
6%,1,Office Supplies,Bossier City,United States,Chris Selesnick,0%,1,1/13/2015,CA-2015-162775,71111,Fellowes,Fellowes Stor/Drawer Steel Plus Storage Drawers,34,0.05933682373,6,South,573,Corporate,1/15/2015,Second Class,Louisiana,Storage
8%,1,Furniture,Saint Petersburg,United States,Anthony Johnson,20%,1,5/14/2015,CA-2015-106810,33710,Electrix,Electrix Halogen Magnifier Lamp,23,0.07395498392,2,South,311,Corporate,5/20/2015,Standard Class,Florida,Furnishings
28%,1,Furniture,Arlington,United States,Laurel Elliston,0%,1,5/19/2017,CA-2017-157245,22204,Hon,Hon 4070 Series Pagoda Round Back Stacking Chairs,180,0.2803738318,2,South,642,Consumer,5/24/2017,Standard Class,Virginia,Chairs
50%,1,Office Supplies,Des Moines,United States,Benjamin Venier,0%,1,1/30/2018,CA-2018-104220,50315,Cardinal,Cardinal EasyOpen D-Ring Binders,9,0.5,2,Central,18,Corporate,2/5/2018,Standard Class,Iowa,Binders
25%,1,Technology,Des Moines,United States,Benjamin Venier,0%,1,1/30/2018,CA-2018-104220,50315,AT&T,AT&T 841000 Phone,52,0.2512077295,3,Central,207,Corporate,2/5/2018,Standard Class,Iowa,Phones
50%,1,Office Supplies,Des Moines,United States,Benjamin Venier,0%,1,1/30/2018,CA-2018-104220,50315,GBC,GBC Instant Report Kit,16,0.5,5,Central,32,Corporate,2/5/2018,Standard Class,Iowa,Binders
45%,1,Office Supplies,Des Moines,United States,Benjamin Venier,0%,1,1/30/2018,CA-2018-104220,50315,DXL,DXL Angle-View Binders with Locking Rings by Samsill,3,0.375,1,Central,8,Corporate,2/5/2018,Standard Class,Iowa,Binders
27%,1,Office Supplies,Des Moines,United States,Benjamin Venier,0%,1,1/30/2018,CA-2018-104220,50315,Boston,Boston 19500 Mighty Mite Electric Pencil Sharpener,11,0.275,2,Central,40,Corporate,2/5/2018,Standard Class,Iowa,Art
42%,1,Furniture,Des Moines,United States,Benjamin Venier,0%,1,1/30/2018,CA-2018-104220,50315,C-Line,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",15,0.4285714286,7,Central,35,Corporate,2/5/2018,Standard Class,Iowa,Furnishings
11%,1,Office Supplies,Cincinnati,United States,Dan Lawera,20%,1,6/29/2015,CA-2015-165974,45231,Dixon,"Dixon My First Ticonderoga Pencil, #2",4,0.1212121212,7,East,33,Consumer,7/6/2015,Standard Class,Ohio,Art
8%,1,Furniture,San Francisco,United States,Nick Zandusky,20%,1,8/21/2016,CA-2016-144267,94110,Hon,Hon GuestStacker Chair,41,0.07536764706,3,West,544,Home Office,8/23/2016,First Class,California,Chairs
47%,1,Office Supplies,San Francisco,United States,Nick Zandusky,0%,1,8/21/2016,CA-2016-144267,94110,Xerox,Xerox 191,28,0.4666666667,3,West,60,Home Office,8/23/2016,First Class,California,Paper
49%,1,Office Supplies,San Francisco,United States,Nick Zandusky,0%,1,8/21/2016,CA-2016-144267,94110,Xerox,Xerox 1974,12,0.5,4,West,24,Home Office,8/23/2016,First Class,California,Paper
45%,1,Office Supplies,San Francisco,United States,Nick Zandusky,0%,1,8/21/2016,CA-2016-144267,94110,Xerox,Xerox 1927,2,0.5,1,West,4,Home Office,8/23/2016,First Class,California,Paper
-70%,1,Office Supplies,Columbus,United States,Bryan Mills,70%,1,10/3/2016,US-2016-157014,43229,Acco,Acco D-Ring Binder w/DublLock,-22,-0.6875,5,East,32,Consumer,10/6/2016,Second Class,Ohio,Binders
-11%,1,Technology,Columbus,United States,Bryan Mills,20%,1,10/3/2016,US-2016-157014,43229,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,-3,-0.125,2,East,24,Consumer,10/6/2016,Second Class,Ohio,Accessories
-44%,1,Furniture,Columbus,United States,Bryan Mills,50%,1,10/3/2016,US-2016-157014,43229,SAFCO,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",-16,-0.4571428571,1,East,35,Consumer,10/6/2016,Second Class,Ohio,Bookcases
1%,1,Technology,Columbus,United States,Bryan Mills,20%,1,10/3/2016,US-2016-157014,43229,Microsoft,Microsoft Natural Ergonomic Keyboard 4000,1,0.02083333333,2,East,48,Consumer,10/6/2016,Second Class,Ohio,Accessories
47%,1,Office Supplies,Columbia,United States,Erin Ashbrook,0%,1,5/23/2016,CA-2016-154921,29203,Other,Cameo Buff Policy Envelopes,88,0.4705882353,3,South,187,Corporate,5/28/2016,Standard Class,South Carolina,Envelopes
34%,1,Office Supplies,Lancaster,United States,Clay Ludtke,20%,1,3/17/2018,CA-2018-129567,93534,Other,Heavy-Duty E-Z-D Binders,6,0.3529411765,2,West,17,Consumer,3/21/2018,Second Class,California,Binders
10%,1,Furniture,Lancaster,United States,Liz Thompson,20%,1,12/12/2016,CA-2016-154620,93534,Other,"Lifetime Advantage Folding Chairs, 4/Carton",35,0.100286533,2,West,349,Consumer,12/16/2016,Standard Class,California,Chairs
48%,1,Office Supplies,Richmond,United States,Sue Ann Reed,0%,1,6/26/2016,CA-2016-115938,23223,GBC,GBC VeloBinder Manual Binding System,69,0.4791666667,4,South,144,Consumer,6/30/2016,Standard Class,Virginia,Binders
27%,1,Office Supplies,Richmond,United States,Sue Ann Reed,0%,1,6/26/2016,CA-2016-115938,23223,Decoflex,"Decoflex Hanging Personal Folder File, Blue",4,0.2666666667,1,South,15,Consumer,6/30/2016,Standard Class,Virginia,Storage
49%,1,Office Supplies,Richmond,United States,Sue Ann Reed,0%,1,6/26/2016,CA-2016-115938,23223,Acco,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",21,0.488372093,8,South,43,Consumer,6/30/2016,Standard Class,Virginia,Binders
24%,1,Furniture,Richmond,United States,Sue Ann Reed,0%,1,6/26/2016,CA-2016-115938,23223,Office Star,Office Star - Contemporary Task Swivel Chair,80,0.2402402402,3,South,333,Consumer,6/30/2016,Standard Class,Virginia,Chairs
6%,1,Technology,Asheville,United States,Joe Kamberova,20%,1,5/20/2017,CA-2017-105256,28806,Cisco,Cisco Unified IP Phone 7945G VoIP phone,85,0.06231671554,5,South,"1,364",Consumer,5/20/2017,Same Day,North Carolina,Phones
46%,1,Office Supplies,San Francisco,United States,Erica Smith,0%,1,9/20/2015,CA-2015-156433,94110,Avery,Avery 499,5,0.5,2,West,10,Consumer,9/26/2015,Standard Class,California,Labels
49%,1,Office Supplies,San Francisco,United States,Erica Smith,0%,1,9/20/2015,CA-2015-156433,94110,Wirebound,"Wirebound Message Book, 4 per Page",11,0.5,4,West,22,Consumer,9/26/2015,Standard Class,California,Paper
49%,1,Office Supplies,Rochester,United States,Rick Hansen,0%,1,9/21/2018,CA-2018-151428,55901,Avery,Avery Durable Binders,10,0.5,7,Central,20,Consumer,9/26/2018,Standard Class,Minnesota,Binders
48%,1,Office Supplies,Rochester,United States,David Bremer,0%,1,12/24/2016,CA-2016-124653,14609,Xerox,Xerox 1887,64,0.4812030075,7,East,133,Corporate,12/26/2016,First Class,New York,Paper
48%,1,Office Supplies,Rochester,United States,David Bremer,0%,1,12/24/2016,CA-2016-124653,14609,Xerox,Xerox 1967,6,0.4615384615,2,East,13,Corporate,12/26/2016,First Class,New York,Paper
48%,1,Office Supplies,Rochester,United States,David Bremer,0%,1,12/24/2016,CA-2016-124653,14609,Smead,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,10,0.4545454545,7,East,22,Corporate,12/26/2016,First Class,New York,Labels
6%,1,Furniture,Lake Elsinore,United States,Carlos Daly,20%,1,11/27/2016,CA-2016-101910,92530,Other,"Situations Contoured Folding Chairs, 4/Set",18,0.06338028169,5,West,284,Consumer,12/3/2016,Standard Class,California,Chairs
33%,1,Furniture,San Diego,United States,Helen Wasserman,0%,1,2/20/2018,CA-2018-105809,92105,Executive Impressions,"Executive Impressions 14"" Contract Wall Clock",7,0.3181818182,1,West,22,Corporate,2/23/2018,First Class,California,Furnishings
9%,1,Technology,San Diego,United States,Helen Wasserman,20%,1,2/20/2018,CA-2018-105809,92105,Logitech,Logitech Mobile Speakerphone P710e - speaker phone,19,0.08796296296,2,West,216,Corporate,2/23/2018,First Class,California,Phones
28%,1,Office Supplies,New York City,United States,Helen Wasserman,0%,1,8/18/2017,CA-2017-136133,10024,Belkin,Belkin 7 Outlet SurgeMaster II,99,0.2788732394,9,East,355,Corporate,8/23/2017,Second Class,New York,Appliances
48%,1,Office Supplies,Monroe,United States,Mike Caudle,0%,1,3/12/2017,CA-2017-115504,71203,Xerox,Xerox 218,6,0.4615384615,2,South,13,Corporate,3/17/2017,Standard Class,Louisiana,Paper
34%,1,Furniture,San Francisco,United States,Gary McGarr,0%,1,4/22/2018,CA-2018-135783,94122,Eldon,"Eldon Stackable Tray, Side-Load, Legal, Smoke",6,0.3333333333,2,West,18,Consumer,4/24/2018,First Class,California,Furnishings
10%,1,Office Supplies,Denver,United States,Russell Applegate,20%,1,11/1/2015,CA-2015-134313,80219,Other,Model L Table or Wall-Mount Pencil Sharpener,4,0.09302325581,3,West,43,Consumer,11/7/2015,Standard Class,Colorado,Art
13%,1,Technology,Denver,United States,Russell Applegate,20%,1,11/1/2015,CA-2015-134313,80219,ClearOne,ClearOne CHATAttach 160 - speaker phone,248,0.125,4,West,"1,984",Consumer,11/7/2015,Standard Class,Colorado,Phones
39%,1,Furniture,Omaha,United States,Allen Armold,0%,1,2/3/2016,CA-2016-140921,68104,Other,Coloredge Poster Frame,11,0.3928571429,2,Central,28,Consumer,2/5/2016,First Class,Nebraska,Furnishings
34%,1,Technology,Omaha,United States,Allen Armold,0%,1,2/3/2016,CA-2016-140921,68104,Kensington,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,51,0.34,3,Central,150,Consumer,2/5/2016,First Class,Nebraska,Accessories
28%,1,Office Supplies,Edmonds,United States,Zuschuss Carroll,0%,1,10/13/2015,CA-2015-151995,98026,Newell,Newell 32,3,0.25,4,West,12,Consumer,10/15/2015,First Class,Washington,Art
24%,1,Furniture,Edmonds,United States,Zuschuss Carroll,0%,1,10/13/2015,CA-2015-151995,98026,Bevis,"Bevis Round Bullnose 29"" High Table Top",312,0.2401847575,5,West,"1,299",Consumer,10/15/2015,First Class,Washington,Tables
29%,1,Office Supplies,Edmonds,United States,Zuschuss Carroll,0%,1,10/13/2015,CA-2015-151995,98026,Belkin,Belkin F9G930V10-GRY 9 Outlet Surge,62,0.2897196262,4,West,214,Consumer,10/15/2015,First Class,Washington,Appliances
10%,1,Technology,Edmonds,United States,Zuschuss Carroll,0%,1,10/13/2015,CA-2015-151995,98026,Sony,Sony 16GB Class 10 Micro SDHC R40 Memory Card,3,0.1153846154,2,West,26,Consumer,10/15/2015,First Class,Washington,Accessories
34%,1,Furniture,Santa Ana,United States,Pauline Johnson,0%,1,5/14/2018,CA-2018-143686,92704,Eldon,"Eldon Stackable Tray, Side-Load, Legal, Smoke",6,0.3333333333,2,West,18,Consumer,5/14/2018,Same Day,California,Furnishings
43%,1,Technology,Santa Ana,United States,Pauline Johnson,0%,1,5/14/2018,CA-2018-143686,92704,Razer,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,602,0.43,7,West,"1,400",Consumer,5/14/2018,Same Day,California,Accessories
48%,1,Office Supplies,Milwaukee,United States,Bart Watters,0%,1,3/20/2016,CA-2016-106565,53209,Xerox,Xerox 205,25,0.4807692308,8,Central,52,Corporate,3/23/2016,First Class,Wisconsin,Paper
35%,1,Office Supplies,Philadelphia,United States,Dean Braden,20%,1,9/15/2017,CA-2017-149370,19140,Xerox,Xerox 1968,2,0.4,1,East,5,Consumer,9/19/2017,Standard Class,Pennsylvania,Paper
35%,1,Office Supplies,Philadelphia,United States,Cynthia Arntzen,20%,1,6/28/2015,CA-2015-140858,19140,Xerox,Xerox 1995,15,0.3658536585,8,East,41,Consumer,7/2/2015,Standard Class,Pennsylvania,Paper
-77%,1,Office Supplies,Philadelphia,United States,Cynthia Arntzen,70%,1,6/28/2015,CA-2015-140858,19140,Other,Self-Adhesive Ring Binder Labels,-2,-0.6666666667,3,East,3,Consumer,7/2/2015,Standard Class,Pennsylvania,Binders
0%,1,Furniture,Philadelphia,United States,Cynthia Arntzen,30%,1,6/28/2015,CA-2015-140858,19140,Global,Global Leather Executive Chair,0,0,5,East,"1,228",Consumer,7/2/2015,Standard Class,Pennsylvania,Chairs
-73%,1,Office Supplies,Philadelphia,United States,Cynthia Arntzen,70%,1,6/28/2015,CA-2015-140858,19140,GBC,GBC Recycled Grain Textured Covers,-23,-0.7419354839,3,East,31,Consumer,7/2/2015,Standard Class,Pennsylvania,Binders
